name;website;vertical;sub_vertical;location;country_raw;region_raw;city_raw;country_normalized;region_normalized;city_normalized;logo_url;estadio_actual;solucion;mail;social_media;contact_phone;founders;founded;organization_type;outcome_status;business_model;badges;notes;status;lat;lng;geocode_source
Samsara Eco;https://www.samsaraeco.com/?ref=failory;otra;Waste Valorization;"{""country"": ""Australia"", ""region"": ""S/D"", ""city"": ""S/D""}";Australia;S/D;S/D;Australia;S/D;S/D;;;Reciclado de plasticos con enzimas. Samsara Eco opera en las tierras no cedidas de los pueblos Cammeraygal, Gadigal, Ngambri y Ngunnawal.;;;;[];;startup;;;[];;IN_REVIEW;;;backend_pending
ULUU;https://www.uluu.com.au/?ref=failory;otra;recycling;"{""country"": ""Australia"", ""region"": ""S/D"", ""city"": ""S/D""}";Australia;S/D;S/D;Australia;S/D;S/D;;;Biomateriales. Nuestros pellets aptos para moldeo por inyecciÃ³n se pueden utilizar para producir productos rÃ­gidos como envases, electrÃ³nica de consumo, muebles e interiores de automÃ³viles.;;;;[];;startup;;;[];;IN_REVIEW;;;backend_pending
Elmery;https://elmery.fi/?ref=failory;otra;recycling;"{""country"": ""Finlandia"", ""region"": ""S/D"", ""city"": ""S/D""}";Finlandia;S/D;S/D;Finlandia;S/D;S/D;;;;;;;[];;startup;;;[];;IN_REVIEW;;;backend_pending
Vytal;https://www.vytal.org/?ref=failory;otra;Packaging Reutilizable;"{""country"": ""Alemania"", ""region"": ""S/D"", ""city"": ""Colonia""}";Alemania;Renania del Norte;Colonia;Alemania;S/D;Colonia;;series_a_/_growth;Sistema de packaging reutilizable para take-away y delivery, con software de gestiÃ³n de contenedores. Los usuarios toman prestados los envases de socios y los devuelven en cualquier punto de la red.;;"{""linkedin"": ""https://www.linkedin.com/company/vytal-global/""}";;"[""Dr. Tim Breker"", ""Dr. Fabian Barthel"", ""Sven Witth\u00c3\u00b6ft"", ""Dr. Josephine Kreische""]";2019.0;startup;;;[];;IN_REVIEW;;;backend_pending
Recove;https://www.recove.in/?ref=failory;otra;Reciclaje de PlÃ¡sticos;"{""country"": ""India"", ""region"": ""S/D"", ""city"": ""S/D""}";India;S/D;India;India;S/D;S/D;;seed_/_pre-serie_a;Marketplace tecnolÃ³gico para la industria del reciclaje en India. Conecta generadores de residuos plÃ¡sticos con recicladores y ofrece infraestructura de preprocesamiento.;;;;"[""Viral Chhajer (CEO & Co-Founder)""]";;startup;;;[];;IN_REVIEW;;;backend_pending
Paptic;http://www.paptic.com/?ref=failory;otra;Packaging Sostenible;"{""country"": ""Finlandia"", ""region"": ""S/D"", ""city"": ""Espoo""}";Finlandia;Finlandiaia;Espoo;Finlandia;S/D;Espoo;;series_a_/_growth;Material de packaging renovable y reciclable a base de fibras de madera para reemplazar plÃ¡sticos en empaques flexibles. Se puede reciclar junto al cartÃ³n y el papel.;;"{""linkedin"": ""https://www.linkedin.com/company/paptic-ltd""}";;"[""Esa Torniainen"", ""Karita Kinnunen-Raudaskoski"", ""Tuomas Mustonen""]";2015.0;startup;;;[];;IN_REVIEW;;;backend_pending
METYCLE;http://www.metycle.com/?ref=failory;otra;Comercio de Metales Secundarios;"{""country"": ""Alemania"", ""region"": ""S/D"", ""city"": ""Colonia""}";Alemania;Alemania;Colonia;Alemania;S/D;Colonia;;series_a;Marketplace gestionado para el comercio internacional de metales secundarios (chatarra). Estados Unidos IA para clasificaciÃ³n y certificaciÃ³n de calidad. Conecta recolectores con recicladores y fundidoras.;founders@metycle.com;"{""linkedin"": ""https://www.linkedin.com/company/metycle""}";;"[""Rafael Suchan"", ""Sebastian Brenner""]";2022.0;startup;;;[];;IN_REVIEW;;;backend_pending
Eeden;https://eeden.world/?ref=failory;otra;Reciclaje Textil;"{""country"": ""Alemania"", ""region"": ""S/D"", ""city"": ""Münster""}";Alemania;Alemania;Münster;Alemania;S/D;Münster;;series_a;TecnologÃ­a de reciclaje quÃ­mico que separa celulosa pura y monÃ³meros PET de mezclas algodÃ³n-poliÃ©ster. Los materiales recuperados se Estados Unidosn para producir fibras de calidad virgen (lyocell, viscosa, poliÃ©ster).;hertrampf@eeden.world;;;"[""Steffen Gerlach (CEO)"", ""Dr. Tobias B\u00c3\u00b6rnhorst (CTO)""]";2019.0;startup;;;[];;IN_REVIEW;;;backend_pending
Metalshub;https://www.metals-hub.com/?ref=failory;otra;SaaS para Metales y MinerÃ­a;"{""country"": ""Alemania"", ""region"": ""S/D"", ""city"": ""Düsseldorf""}";Alemania;Alemania;Düsseldorf;Alemania;S/D;Düsseldorf;;series_a_/_growth;Plataforma SaaS vertical e Ã­ndices de precios para la industria de metales, minerÃ­a y reciclaje. Digitaliza procurement, ventas y trading de materias primas. TambiÃ©n opera bajo la marca Metis para datos de precios.;;;;"[""N/D""]";2016.0;startup;;;[];;IN_REVIEW;;;backend_pending
Recyda GmbH;https://www.recyda.com/?ref=failory;otra;Software Sostenibilidad de Packaging;"{""country"": ""Alemania"", ""region"": ""S/D"", ""city"": ""Friburgo de Brisgovia""}";Alemania;Alemania;Friburgo de Brisgovia;Alemania;S/D;Friburgo de Brisgovia;;series_a;Software SaaS para gestiÃ³n sostenible de packaging. Permite evaluar reciclabilidad de envases segÃºn regulaciones internacionales, calcular tasas EPR (Extended Producer Responsibility) y gestionar datos de packaging.;;"{""linkedin"": ""https://www.linkedin.com/company/recyda""}";;"[""Vivian Loftin (CMO)"", ""Anna Zie\u00c3\u009fow (CPO)"", ""Christian Knobloch (CEO)""]";2020.0;startup;;;[];;IN_REVIEW;;;backend_pending
Fazla GÄ±da;https://fazla.com/?ref=failory;otra;GestiÃ³n de Excedentes Alimentarios;"{""country"": ""Turquía"", ""region"": ""S/D"", ""city"": ""Estambul""}";Turquía;Turquía;Estambul;Turquía;S/D;Estambul;;series_a_/_growth;Plataforma cloud B2B para gestiÃ³n de inventarios excedentes alimentarios. Redistribuye surplus a bancos de alimentos, canales HoReCa, producciÃ³n de alimento animal y plantas de biogÃ¡s. B Corp certificado.;;;;"[""Olcay Silahl\u00c4\u00b1 (CEO & Founder)""]";2017.0;startup;;;[];;IN_REVIEW;;;backend_pending
everox (former C2CA);http://www.everox.tech/?ref=failory;otra;TecnologÃ­a de Reciclaje;"{""country"": ""S/D"", ""region"": ""S/D"", ""city"": ""S/D""}";S/D;S/D;S/D;S/D;S/D;S/D;;early_stage;TecnologÃ­a avanzada de reciclaje (informaciÃ³n limitada disponible pÃºblicamente).;;;;"[""N/D""]";;startup;;;[];;IN_REVIEW;;;backend_pending
Matter.;https://matter.industries/?ref=failory;otra;FiltraciÃ³n de MicroplÃ¡sticos;"{""country"": ""Reino Unido"", ""region"": ""S/D"", ""city"": ""Bristol""}";Reino Unido;Reino Unido;Bristol;Reino Unido;S/D;Bristol;;series_a;TecnologÃ­a de filtraciÃ³n pionera para capturar y reciclar microplÃ¡sticos, principalmente de lavadoras domÃ©sticas y procesos industriales textiles. Producto principal: Regen.Â® - filtro que captura microplÃ¡sticos antes de que lleguen al medioambiente.;hello@matter.industries;"{""linkedin"": ""https://Reino Unido.linkedin.com/company/matterindustries""}";;"[""Adam Root (Founder & CEO)""]";2018.0;startup;;;[];;IN_REVIEW;;;backend_pending
eureciclo;https://alias.eureciclo.com.br/?ref=failory;otra;LogÃ­stica Inversa / CertificaciÃ³n de Reciclaje;"{""country"": ""Brasil"", ""region"": ""S/D"", ""city"": ""São Paulo""}";Brasil;Brasil;São Paulo;Brasil;S/D;São Paulo;;series_b_/_growth;Mayor certificadora de logÃ­stica inversa de envases en Brasil. Conecta empresas con recicladores para compensar el impacto ambiental del packaging. Permite cumplir con la PolÃ­tica Nacional de Residuos SÃ³lidos (PNRS) de Brasil.;contato@eureciclo.com.br;"{""linkedin"": ""https://www.linkedin.com/company/seloeureciclo""}";;"[""Thiago Pinto (CEO & Co-Founder)""]";2015.0;startup;;;[];;IN_REVIEW;;;backend_pending
Ionic Technologies;https://ionictechnologies.com/?ref=failory;otra;Reciclaje de Imanes de Tierras Raras;"{""country"": ""Reino Unido"", ""region"": ""S/D"", ""city"": ""Belfast""}";Reino Unido;Irlanda del Norte;Belfast;Reino Unido;S/D;Belfast;;early/growth_stage;TecnologÃ­a patentada para el reciclaje de imanes permanentes y recuperaciÃ³n de elementos de tierras raras (REE). Spin-out de Queen's University Belfast, filial 100% de Ionic Rare Earths Ltd.;;"{""linkedin"": ""https://www.linkedin.com/company/ionic-technologies/""}";;"[""N/D (spin-out Queen's University Belfast)""]";;startup;;;[];;IN_REVIEW;;;backend_pending
Ecobean;https://ecobean.pl/?ref=failory;otra;ValorizaciÃ³n de Residuos de CafÃ©;"{""country"": ""Polonia"", ""region"": ""S/D"", ""city"": ""Varsovia""}";Polonia;Polonia;Varsovia;Polonia;S/D;Varsovia;;early_stage_/_seed;Empresa tecnolÃ³gica que extiende la cadena de valor del cafÃ© convirtiÃ©ndolo en materias primas verdes y quÃ­micos sostenibles. Recoge posos de cafÃ© Estados Unidosdos y los transforma en materiales circulares. Spin-out de Warsaw University of Technology.;;"{""linkedin"": ""https://www.linkedin.com/company/eco-bean/""}";;"[""Marcin Koziorowski"", ""Kacper Kossowski""]";;startup;;;[];;IN_REVIEW;;;backend_pending
Cyclize;https://www.cyclize.de/?ref=failory;otra;Reciclaje QuÃ­mico;"{""country"": ""Alemania"", ""region"": ""S/D"", ""city"": ""S/D""}";Alemania;S/D;Alemania;Alemania;S/D;S/D;;early_stage;Soluciones de reciclaje quÃ­mico para plÃ¡sticos (informaciÃ³n limitada disponible pÃºblicamente). Startup alemana.;;;;"[""N/D""]";;startup;;;[];;IN_REVIEW;;;backend_pending
Re-Fresh Global;http://re-fresh.global/?ref=failory;otra;Upcycling / Materiales Sostenibles;"{""country"": ""S/D"", ""region"": ""S/D"", ""city"": ""S/D""}";S/D;S/D;S/D;S/D;S/D;S/D;;early_stage;Plataforma global de economÃ­a circular (informaciÃ³n limitada disponible pÃºblicamente).;;;;"[""N/D""]";;startup;;;[];;IN_REVIEW;;;backend_pending
Horen;https://www.xiangxiang.com/?ref=failory;otra;Plataforma de Reciclaje Digital;"{""country"": ""China"", ""region"": ""S/D"", ""city"": ""S/D""}";China;S/D;China;China;S/D;S/D;;;Plataforma digital de reciclaje (China). InformaciÃ³n limitada disponible en inglÃ©s.;;;;"[""N/D""]";;startup;;;[];;IN_REVIEW;;;backend_pending
Resortecs;https://resortecs.com/?ref=failory;otra;Reciclaje Textil / EcodiseÃ±o;"{""country"": ""Bélgica"", ""region"": ""S/D"", ""city"": ""Bruselas""}";Bélgica;Lievegem;Bruselas;Bélgica;S/D;Bruselas;;series_a;Empresa de ecodiseÃ±o que desarrolla hilos de costura termosolubles (Smart Stitchâ¢) y sistemas de desmontaje tÃ©rmico (Smart Disassemblyâ¢) para facilitar el reciclaje industrial de textiles. Permite reciclar hasta el 90% del tejido original.;;"{""linkedin"": ""https://be.linkedin.com/company/resortecs""}";;"[""C\u00c3\u00a9dric Vanhoeck"", ""Vanessa Counaert""]";2017.0;startup;;;[];;IN_REVIEW;;;backend_pending
Keey Aerogel;https://keey-aerogel.com/?ref=failory;otra;Aislamiento Sostenible;"{""country"": ""S/D"", ""region"": ""S/D"", ""city"": ""S/D""}";S/D;S/D;S/D;S/D;S/D;S/D;;early_stage;Desarrolla aerogel sostenible como material de aislamiento de alto rendimiento (informaciÃ³n limitada disponible pÃºblicamente).;;;;"[""N/D""]";;startup;;;[];;IN_REVIEW;;;backend_pending
Tiptapp;https://www.tiptapp.com/?ref=failory;otra;Plataforma de ReutilizaciÃ³n / Recogida de Residuos;"{""country"": ""Suecia"", ""region"": ""S/D"", ""city"": ""S/D""}";Suecia;S/D;Suecia;Suecia;S/D;S/D;;growth_stage;App de economÃ­a colaborativa que conecta personas que quieren deshacerse de objetos con quienes los recogen (para reutilizaciÃ³n o reciclaje). Funciona como un 'Uber' para la recogida de objetos voluminosos y residuos.;;;;"[""N/D""]";;startup;;;[];;IN_REVIEW;;;backend_pending
Kokhavynska Paper Factory;https://kpf.ua/?ref=failory;otra;Reciclaje / GestiÃ³n de Residuos;"{""country"": ""Ucrania"", ""region"": ""S/D"", ""city"": ""S/D""}";Ucrania;S/D;Ucrania;Ucrania;S/D;S/D;;early_stage;Plataforma ucraniana de gestiÃ³n de residuos y reciclaje (informaciÃ³n limitada disponible pÃºblicamente).;;;;"[""N/D""]";;startup;;;[];;IN_REVIEW;;;backend_pending
Plastiks;https://www.plastiks.io/?ref=failory;otra;CrÃ©ditos de RecuperaciÃ³n de PlÃ¡stico / Blockchain;"{""country"": ""España"", ""region"": ""S/D"", ""city"": ""S/D""}";España;S/D;España;España;S/D;S/D;;early/growth_stage;Marketplace blockchain para crÃ©ditos de recuperaciÃ³n de plÃ¡stico. Conecta empresas con proyectos de recuperaciÃ³n de plÃ¡stico verificados para compensar su huella de plÃ¡stico y reportar impacto ambiental.;;;;"[""N/D""]";;startup;;;[];;IN_REVIEW;;;backend_pending
ALIER;https://www.alier.com/?ref=failory;otra;Fertilizantes OrgÃ¡nicos / EconomÃ­a Circular AgrÃ­cola;"{""country"": ""España"", ""region"": ""S/D"", ""city"": ""S/D""}";España;S/D;España;España;S/D;S/D;;;Empresa de fertilizantes orgÃ¡nicos y enmiendas para suelos, con enfoque en sostenibilidad agrÃ­cola y economÃ­a circular (informaciÃ³n limitada disponible).;;;;"[""N/D""]";;startup;;;[];;IN_REVIEW;;;backend_pending
ScrapAd;http://www.scrapad.com/?ref=failory;otra;Marketplace de Materiales Reciclables;"{""country"": ""España"", ""region"": ""S/D"", ""city"": ""Eibar""}";España;Madrid;Eibar;España;S/D;Eibar;;series_a;Marketplace global para la compra y venta de materiales reciclables (metales, plÃ¡sticos, tubos, papel, cables) en mÃ¡s de 125 paÃ­ses. Verifica empresas y materiales para garantizar transacciones seguras e incluye gestiÃ³n logÃ­stica.;;;;"[""N/D""]";;startup;;;[];;IN_REVIEW;;;backend_pending
Umincorp;http://www.umincorp.com/?ref=failory;otra;Reciclaje de PlÃ¡sticos Mixtos;"{""country"": ""Países Bajos"", ""region"": ""S/D"", ""city"": ""S/D""}";Países Bajos;S/D;Países Bajos;Países Bajos;S/D;S/D;;growth_stage;TecnologÃ­a de separaciÃ³n y reciclaje de plÃ¡sticos mixtos post-consumo mediante procesos de densidad en agua. Permite reciclar plÃ¡sticos que normalmente van a vertedero.;;;;"[""N/D""]";;startup;;;[];;IN_REVIEW;;;backend_pending
Natural World Products;https://www.naturalworldproducts.com/?ref=failory;otra;Productos de Limpieza Sostenibles;"{""country"": ""S/D"", ""region"": ""S/D"", ""city"": ""S/D""}";S/D;S/D;S/D;S/D;S/D;S/D;;;Productos de limpieza sostenibles y naturales con packaging responsable (informaciÃ³n limitada disponible).;;;;"[""N/D""]";;startup;;;[];;IN_REVIEW;;;backend_pending
Mimbly;https://www.mimbly.se/?ref=failory;otra;FiltraciÃ³n de Agua / MicroplÃ¡sticos en Lavadoras;"{""country"": ""Suecia"", ""region"": ""S/D"", ""city"": ""S/D""}";Suecia;S/D;Suecia;Suecia;S/D;S/D;;seed_/_early_stage;Dispositivo Mimbox que se conecta a lavadoras para capturar microplÃ¡sticos y microfibras del agua de lavado antes de que lleguen al desagÃ¼e. TambiÃ©n ahorra agua y energÃ­a.;;;;"[""N/D""]";;startup;;;[];;IN_REVIEW;;;backend_pending
Triânâcollect;https://www.tri-n-collect.fr/?ref=failory;otra;Recogida Selectiva de Residuos;"{""country"": ""Francia"", ""region"": ""S/D"", ""city"": ""S/D""}";Francia;S/D;Francia;Francia;S/D;S/D;;early_stage;SoluciÃ³n francesa de recogida y clasificaciÃ³n selectiva de residuos (informaciÃ³n limitada disponible pÃºblicamente).;;;;"[""N/D""]";;startup;;;[];;IN_REVIEW;;;backend_pending
SCOP3;https://www.scop3.com/?ref=failory;otra;MediciÃ³n de Emisiones Scope 3;"{""country"": ""S/D"", ""region"": ""S/D"", ""city"": ""S/D""}";S/D;S/D;S/D;S/D;S/D;S/D;;early/growth_stage;Plataforma de mediciÃ³n y gestiÃ³n de emisiones de CO2 de Alcance 3 (cadena de suministro). Ayuda a empresas a calcular, reportar y reducir su huella de carbono indirecta.;;;;"[""N/D""]";;startup;;;[];;IN_REVIEW;;;backend_pending
Kora;http://www.kora.app/?ref=failory;otra;Finanzas Personales Verdes;"{""country"": ""S/D"", ""region"": ""S/D"", ""city"": ""S/D""}";S/D;S/D;S/D;S/D;S/D;S/D;;early_stage;App de finanzas personales con enfoque en sostenibilidad e impacto ambiental (informaciÃ³n limitada disponible pÃºblicamente).;;;;"[""N/D""]";;startup;;;[];;IN_REVIEW;;;backend_pending
Loopfront;https://www.loopfront.com/en/?ref=failory;otra;Marketplace de Materiales de Segunda Mano (ConstrucciÃ³n);"{""country"": ""Noruega"", ""region"": ""S/D"", ""city"": ""S/D""}";Noruega;S/D;Noruega;Noruega;S/D;S/D;;growth_stage;Plataforma digital de economÃ­a circular para materiales de construcciÃ³n y mobiliario de segunda mano. Conecta empresas que tienen excedentes con quienes los necesitan.;;;;"[""N/D""]";;startup;;;[];;IN_REVIEW;;;backend_pending
Glenntex AB;https://www.glenntex.com/?ref=failory;otra;Reciclaje Textil;"{""country"": ""S/D"", ""region"": ""S/D"", ""city"": ""S/D""}";S/D;S/D;S/D;S/D;S/D;S/D;;early_stage;Soluciones de reciclaje textil (informaciÃ³n limitada disponible pÃºblicamente).;;;;"[""N/D""]";;startup;;;[];;IN_REVIEW;;;backend_pending
Myco;https://www.myco.cz/en/?ref=failory;otra;Materiales de Micelio;"{""country"": ""República Checa"", ""region"": ""S/D"", ""city"": ""S/D""}";República Checa;S/D;República Checa;República Checa;S/D;S/D;;early_stage;Empresa checa que desarrolla biomateriales a base de micelio (hongos) como alternativa sostenible a materiales tradicionales para packaging u otras aplicaciones.;;;;"[""N/D""]";;startup;;;[];;IN_REVIEW;;;backend_pending
ERTH;https://www.erth.app/?ref=failory;otra;Huella de Carbono Personal;"{""country"": ""S/D"", ""region"": ""S/D"", ""city"": ""S/D""}";S/D;S/D;S/D;S/D;S/D;S/D;;early_stage;App que ayuda a los usuarios a medir, entender y reducir su huella de carbono personal y el impacto medioambiental de sus compras y actividades cotidianas.;;;;"[""N/D""]";;startup;;;[];;IN_REVIEW;;;backend_pending
Doll'App;https://dollapp.co/?ref=failory;otra;Segunda Mano / Reventa de Moda;"{""country"": ""S/D"", ""region"": ""S/D"", ""city"": ""S/D""}";S/D;S/D;S/D;S/D;S/D;S/D;;early_stage;Plataforma de reventa y segunda mano de moda (informaciÃ³n limitada disponible pÃºblicamente).;;;;"[""N/D""]";;startup;;;[];;IN_REVIEW;;;backend_pending
MarinaTex;https://www.marinatex.co.Reino Unido/?ref=failory;otra;BioplÃ¡sticos a base de residuos marinos;"{""country"": ""Reino Unido"", ""region"": ""S/D"", ""city"": ""S/D""}";Reino Unido;S/D;Reino Unido;Reino Unido;S/D;S/D;;early_stage_/_r&d;Desarrolla bioplÃ¡sticos a partir de residuos de la industria pesquera (desechos de peces y algas). Material biodegradable y compostable como alternativa al plÃ¡stico convencional.;;;;"[""Lucy Hughes""]";;startup;;;[];;IN_REVIEW;;;backend_pending
AMCS Group;http://www.amcsgroup.com/?ref=failory;otra;Software para GestiÃ³n de Residuos y Reciclaje;"{""country"": ""Irlanda"", ""region"": ""S/D"", ""city"": ""Limerick""}";Irlanda;Irlanda;Limerick;Irlanda;S/D;Limerick;;maduro_/_scale-up;Plataforma de software empresarial para la industria de residuos, reciclaje y recursos. Optimiza operaciones de recogida, transporte, procesamiento y venta de materiales reciclables para empresas de gestiÃ³n de residuos.;;;;"[""N/D""]";;startup;;;[];;IN_REVIEW;;;backend_pending
Healthcann;http://healthcann.eu/?ref=failory;otra;Productos derivados del cÃ¡Ã±amo industrial;"{""country"": ""S/D"", ""region"": ""S/D"", ""city"": ""S/D""}";S/D;S/D;S/D;S/D;S/D;S/D;;early_stage;Productos sostenibles derivados del cÃ¡Ã±amo industrial para industrias diversas (construcciÃ³n, alimentaciÃ³n, textil). EconomÃ­a circular basada en biomateriales.;;;;"[""N/D""]";;startup;;;[];;IN_REVIEW;;;backend_pending
SpexAI GmbH;https://www.spexai.com/?ref=failory;otra;IA para ClasificaciÃ³n de Residuos / Reciclaje;"{""country"": ""Países Bajos"", ""region"": ""S/D"", ""city"": ""S/D""}";Países Bajos;S/D;Países Bajos;Países Bajos;S/D;S/D;;early/growth_stage;Inteligencia artificial para clasificaciÃ³n y anÃ¡lisis de materiales en plantas de reciclaje. Mejora la eficiencia del proceso de clasificaciÃ³n Estados Unidosndo visiÃ³n por computadora.;;;;"[""N/D""]";;startup;;;[];;IN_REVIEW;;;backend_pending
Clarity AI;https://clarity.ai/?ref=failory;otra;AnÃ¡lisis de Sostenibilidad e Impacto ESG;"{""country"": ""España"", ""region"": ""S/D"", ""city"": ""Madrid""}";España;S/D;Madrid;España;S/D;Madrid;;growth_/_late_stage;Plataforma tecnolÃ³gica de sostenibilidad que Estados Unidos IA y machine learning para evaluar impacto ambiental y social de empresas, fondos y carteras de inversiÃ³n. Sirve a gestores de activos, bancos e inversores institucionales. Cubre 98k emisores, 2.3M empresas privadas, 450k fondos.;;"{""linkedin"": ""https://www.linkedin.com/company/clarity-ai""}";;"[""Rebeca Minguela (CEO & Founder)""]";2017.0;startup;;;[];;IN_REVIEW;;;backend_pending
Motiv Electric Trucks;http://motivps.com/?ref=failory;otra;GestiÃ³n de EnergÃ­a / Sostenibilidad Industrial;"{""country"": ""S/D"", ""region"": ""S/D"", ""city"": ""S/D""}";S/D;S/D;S/D;S/D;S/D;S/D;;;Soluciones de gestiÃ³n de energÃ­a y sostenibilidad para industrias (informaciÃ³n limitada disponible pÃºblicamente).;;;;"[""N/D""]";;startup;;;[];;IN_REVIEW;;;backend_pending
Fortera;https://forteraglobal.com/?ref=failory;otra;Cemento / Concreto de Baja EmisiÃ³n;"{""country"": ""Estados Unidos"", ""region"": ""S/D"", ""city"": ""S/D""}";Estados Unidos.;S/D;Estados Unidos.;Estados Unidos;S/D;S/D;;growth_/_series_b;TecnologÃ­a para producir cemento y concreto con significativamente menos emisiones de CO2 que el cemento Portland convencional. Estados Unidos reacciones electroquÃ­micas para capturar CO2 del proceso de fabricaciÃ³n.;;;;"[""N/D""]";;startup;;;[];;IN_REVIEW;;;backend_pending
NoTraffic;http://notraffic.com/?ref=failory;otra;GestiÃ³n Inteligente del TrÃ¡fico;"{""country"": ""Israel"", ""region"": ""S/D"", ""city"": ""S/D""}";Israel;S/D;Israel;Israel;S/D;S/D;;series_b_/_growth;Plataforma de gestiÃ³n inteligente del trÃ¡fico basada en IA. Optimiza semÃ¡foros y flujo vehicular en tiempo real para reducir congestiÃ³n, emisiones y mejorar la movilidad urbana.;;;;"[""N/D""]";;startup;;;[];;IN_REVIEW;;;backend_pending
