name;website;vertical;sub_vertical;location;country_raw;region_raw;city_raw;country_normalized;region_normalized;city_normalized;logo_url;estadio_actual;solucion;mail;social_media;contact_phone;founders;founded;organization_type;outcome_status;business_model;badges;notes;status;lat;lng;geocode_source;existing_id;match_basis;changed_fields;review_reasons
Gradiant;https://gradiant.com/?ref=failory;otra;Tratamiento Agua Industrial;"{""country"": ""Estados Unidos"", ""region"": ""Massachusetts"", ""city"": ""Woburn""}";Estados Unidos;MA;Woburn;Estados Unidos;Massachusetts;Woburn;;series_d;Tecnologías avanzadas de tratamiento de agua para semiconductores, petroquímica, minería, farmacéutica.;info@gradiant.com;"{""linkedin"": ""linkedin.com/company/gradiant""}";;"[""Anurag Bajpayee"", ""Prakash Narayan (MIT PhD)""]";2013.0;startup;activa;b2b · proyectos epc + o&m;[];Permite industrias high-tech operar con mínima agua.;IN_REVIEW;;;backend_pending;c60aa0b3-2655-11f1-9fe3-f2bd301d25df;pair;sub_vertical, location, logo_url, estadio_actual, solucion, mail, social_media, founders, founded, outcome_status, business_model, notes;
Turntide Technologies;http://www.turntide.com/?ref=failory;otra;Eficiencia Industrial;"{""country"": ""Estados Unidos"", ""region"": ""S/D"", ""city"": ""San Jose""}";Estados Unidos;CA;San Jose;Estados Unidos;S/D;San Jose;;series_d;Motores de reluctancia eléctrica controlados por software para edificios e industria, 70% menos consumo.;;"{""linkedin"": ""linkedin.com/company/turntide-technologies""}";;"[""Ryan Morris""]";2013.0;startup;activa;b2b · venta de motores + saas de gestión;[];Motores = 45% consumo eléctrico mundial industrial.;IN_REVIEW;;;backend_pending;c60aa059-2655-11f1-9fe3-f2bd301d25df;pair;sub_vertical, location, logo_url, estadio_actual, solucion, social_media, founders, founded, outcome_status, business_model, notes;region_removed_or_unresolved
Northvolt;http://www.northvolt.com/?ref=failory;otra;Baterías de Litio / Manufactura;"{""country"": ""Suecia"", ""region"": ""S/D"", ""city"": ""S/D""}";Suecia;Skellefteå;Estocolmo;Suecia;S/D;S/D;;cerrada;Fabricante europeo de baterías de litio para EVs. Gigafábrica en Suecia. Ex-unicornio.;;"{""linkedin"": ""linkedin.com/company/northvolt"", ""twitter"": ""twitter.com/northvolt""}";;"[""Peter Carlsson"", ""Paolo Cerruti (ex-Tesla)""]";2016.0;startup;⚠️ cerrada · ex-unicornio europeo · $15b raised · bancarrota 2024;b2b · contratos supply con oems automotrices;[];Hubiera creado supply chain de baterías soberano para Europa.;IN_REVIEW;;;backend_pending;c60a7782-2655-11f1-9fe3-f2bd301d25df;pair;sub_vertical, location, logo_url, estadio_actual, solucion, social_media, founders, founded, outcome_status, business_model, notes;region_removed_or_unresolved, city_removed_or_unresolved
Palmetto;http://www.palmetto.com/?ref=failory;otra;Solar Residencial / Plataforma;"{""country"": ""Estados Unidos"", ""region"": ""North Carolina"", ""city"": ""Charlotte""}";Estados Unidos;NC;Charlotte;Estados Unidos;North Carolina;Charlotte;;series_c+;Plataforma B2B2C para instaladores de solar residencial con herramientas de diseño, finanzas y CRM.;;"{""linkedin"": ""linkedin.com/company/palmetto"", ""instagram"": ""instagram.com/palmettoclean"", ""twitter"": ""twitter.com/palmettoclean""}";;"[""Chris Kemper""]";2010.0;startup;activa;b2b + b2c · saas para instaladores + venta directa solar;[];Democratiza acceso a energía solar residencial.;IN_REVIEW;;;backend_pending;c60aa3b7-2655-11f1-9fe3-f2bd301d25df;pair;sub_vertical, location, logo_url, estadio_actual, solucion, social_media, founders, founded, outcome_status, business_model, notes;
eAgronom;https://www.eagronom.com/?ref=failory;otra;AgTech / Carbono Agrícola;"{""country"": ""Estonia"", ""region"": ""S/D"", ""city"": ""Tallin""}";Estonia;S/D;Tallin;Estonia;S/D;Tallin;;series_a;Plataforma digital para agricultura regenerativa, créditos de carbono y datos agronómicos para mejorar rentabilidad.;info@eagronom.com;"{""linkedin"": ""linkedin.com/company/eagronom""}";;"[""Robin Saluoks""]";2016.0;startup;activa;b2b · saas para agricultores + marketplace carbono;[];Secuestro de carbono en suelos. Mejora biodiversidad. 1M+ acres.;IN_REVIEW;;;backend_pending;c608e08d-2655-11f1-9fe3-f2bd301d25df;pair;vertical, sub_vertical, location, estadio_actual, solucion, mail, social_media, founders, founded, outcome_status, business_model, notes;
Kilimo;https://kilimo.com/?ref=failory;otra;Riego Inteligente;"{""country"": ""Argentina"", ""region"": ""S/D"", ""city"": ""Buenos Aires""}";Argentina;S/D;Buenos Aires;Argentina;S/D;Buenos Aires;;series_a;Plataforma de irrigación de precisión con IoT, satélites y ML para reducir agua en agricultura hasta 35%.;info@kilimo.com;"{""linkedin"": ""linkedin.com/company/kilimo"", ""instagram"": ""instagram.com/kilimo_latam""}";;"[""Nicol\u00e1s Carminati"", ""Sebasti\u00e1n Gloazzo""]";2016.0;startup;activa;b2b · saas por hectárea irrigada;[];Agricultura Estados Unidos 70% agua dulce global. Kilimo la reduce 30-35%.;IN_REVIEW;;;backend_pending;c5ca9861-2655-11f1-9fe3-f2bd301d25df;pair;vertical, sub_vertical, location, estadio_actual, solucion, mail, social_media, founders, founded, outcome_status, business_model, notes;
microTERRA;https://www.microterra.com/?ref=failory;otra;Proteína de Algas / Lemna;"{""country"": ""Estados Unidos"", ""region"": ""S/D"", ""city"": ""S/D""}";Estados Unidos;S/D;S/D;Estados Unidos;S/D;S/D;;seed;Cultiva Lemna (lenteja de agua) a gran escala como fuente de proteína alternativa de bajo impacto.;;;;"[""N/D""]";2020.0;startup;activa;b2b · ingrediente proteico para alimentos y piensos;[];Alternativa a soja con 90% menos tierra, agua y emisiones.;IN_REVIEW;;;backend_pending;c606b902-2655-11f1-9fe3-f2bd301d25df;pair;sub_vertical, location, estadio_actual, solucion, founders, founded, outcome_status, business_model, notes;
The Protein Brewery;https://www.theproteinbrewery.nl/?ref=failory;otra;Proteína de Fermentación;"{""country"": ""Países Bajos"", ""region"": ""S/D"", ""city"": ""Breda""}";Países Bajos;S/D;Breda;Países Bajos;S/D;Breda;;series_a;Produce Fermotein, proteína de fermentación de precisión con alto perfil nutricional y baja huella ambiental para ingredientes industriales.;info@theproteinbrewery.nl;"{""linkedin"": ""linkedin.com/company/the-protein-brewery""}";;"[""Ren\u00e9 Floris"", ""Arjen Sein""]";2018.0;startup;activa;b2b · ingrediente proteico para food manufacturers;[];Proteína sin tierra agrícola, sin agua de riego, sin antibióticos. Fracción de la huella animal.;IN_REVIEW;;;backend_pending;c5d201b7-2655-11f1-9fe3-f2bd301d25df;pair;sub_vertical, location, estadio_actual, solucion, mail, social_media, founders, founded, outcome_status, business_model, notes;
Shinkei Systems;https://www.shinkei.systems/?ref=failory;otra;Matanza Humanitaria / Pescado;"{""country"": ""Estados Unidos"", ""region"": ""S/D"", ""city"": ""San Francisco""}";Estados Unidos;CA;San Francisco;Estados Unidos;S/D;San Francisco;;seed;Tecnología de sacrificio de peces por ike jime (técnica japonesa) automatizada para mejorar calidad, bienestar animal y vida útil del producto.;info@shinkei.systems;"{""linkedin"": ""linkedin.com/company/shinkei-systems""}";;"[""Saif Khawaja"", ""Courtney Boyd Myers""]";2020.0;startup;activa;b2b · venta de dispositivos + licencias;[];Bienestar animal. Reduce desperdicio de producto por deterioro más rápido.;IN_REVIEW;;;backend_pending;c5d0930a-2655-11f1-9fe3-f2bd301d25df;pair;vertical, sub_vertical, location, logo_url, estadio_actual, solucion, mail, social_media, founders, founded, outcome_status, business_model, notes;region_removed_or_unresolved
UPSIDE Foods;https://www.upsidefoods.com/?ref=failory;otra;Carne Cultivada;"{""country"": ""Estados Unidos"", ""region"": ""S/D"", ""city"": ""Berkeley""}";Estados Unidos;CA;Berkeley;Estados Unidos;S/D;Berkeley;;series_c+;Pioneros en carne cultivada (cell-based meat) a partir de células animales sin sacrificio. Primera aprobación FDA de la historia.;info@upsidefoods.com;"{""linkedin"": ""linkedin.com/company/upside-foods"", ""instagram"": ""instagram.com/upsidefoods"", ""twitter"": ""twitter.com/upsidefoods""}";;"[""Uma Valeti"", ""Nicholas Genovese"", ""Will Clem""]";2015.0;startup;activa;b2b + b2c · restaurantes + retail (pending escala);[];Carne sin sacrificio animal. Sin antibióticos. 90% menos tierra y 50% menos agua vs ganadería.;IN_REVIEW;;;backend_pending;c60aa15e-2655-11f1-9fe3-f2bd301d25df;pair;sub_vertical, location, logo_url, estadio_actual, solucion, mail, social_media, founders, founded, outcome_status, business_model, notes;region_removed_or_unresolved
Gousto;https://www.gousto.co.Reino Unido/?ref=failory;otra;Meal Kits / D2C;"{""country"": ""Reino Unido"", ""region"": ""S/D"", ""city"": ""Londres""}";Reino Unido;S/D;Londres;Reino Unido;S/D;Londres;;growth;Plataforma de meal kits con más de 75 recetas semanales, personalización por IA y entrega a domicilio en Reino Unido.;;"{""linkedin"": ""linkedin.com/company/gousto"", ""instagram"": ""instagram.com/gousto"", ""facebook"": ""facebook.com/gousto"", ""twitter"": ""twitter.com/gousto""}";;"[""Timo Boldt""]";2012.0;startup;activa;b2c · suscripción semanal de meal kits;[];Reduce desperdicio al enviar cantidades exactas. Menor huella vs supermercado convencional.;IN_REVIEW;;;backend_pending;c603e47c-2655-11f1-9fe3-f2bd301d25df;pair;sub_vertical, location, estadio_actual, solucion, social_media, founders, founded, outcome_status, business_model, notes;
Savor;https://savor.it/?ref=failory;otra;Grasas Sintetizadas / FoodTech;"{""country"": ""Estados Unidos"", ""region"": ""S/D"", ""city"": ""San Francisco""}";Estados Unidos;CA;San Francisco;Estados Unidos;S/D;San Francisco;;seed;Produce grasas y aceites que imitan exactamente la estructura molecular de grasas animales Estados Unidosndo síntesis química sin origen animal ni vegetal.;info@savor.it;"{""linkedin"": ""linkedin.com/company/savor-foodtech""}";;"[""Kathleen Alexander"", ""Arianna Pittenger""]";2021.0;startup;activa;b2b · ingredientes grasos para food manufacturers;[];Grasas = componente crítico del sabor. Savor puede descarbonizar completamente la industria grasa.;IN_REVIEW;;;backend_pending;c608b625-2655-11f1-9fe3-f2bd301d25df;pair;sub_vertical, location, estadio_actual, solucion, mail, social_media, founders, founded, outcome_status, business_model, notes;region_removed_or_unresolved
Superground;https://www.superground.com/?ref=failory;otra;Cold Brew Coffee Premium;"{""country"": ""Estados Unidos"", ""region"": ""S/D"", ""city"": ""S/D""}";Estados Unidos;S/D;S/D;Estados Unidos;S/D;S/D;;seed;Café cold brew premium con proceso de extracción en frío propio, envasado en lata y distribución en retail.;;;;"[""N/D""]";2020.0;startup;activa;b2c · retail + d2c;[];Proceso en frío consume menos energía que extracción en caliente.;IN_REVIEW;;;backend_pending;c608cbd6-2655-11f1-9fe3-f2bd301d25df;pair;sub_vertical, location, estadio_actual, solucion, founders, founded, outcome_status, business_model, notes;
Heura Foods;https://heurafoods.com/?ref=failory;otra;Proteína Vegetal / Plant-Based;"{""country"": ""España"", ""region"": ""S/D"", ""city"": ""Barcelona""}";España;S/D;Barcelona;España;S/D;Barcelona;;series_b;Empresa española líder en plant-based con productos de pollo, ternera y embutidos de origen vegetal. Modelo de impacto y B-Corp.;info@heurafoods.com;"{""linkedin"": ""linkedin.com/company/heura"", ""instagram"": ""instagram.com/eatheura"", ""facebook"": ""facebook.com/eatheura"", ""twitter"": ""twitter.com/eat_heura""}";;"[""Marc Coloma"", ""Bernat A\u00f1a\u00f1os""]";2017.0;startup;activa;b2c · retail + foodservice;[];Carne de origen vegetal reduce 70-90% emisiones vs carne animal convencional.;IN_REVIEW;;;backend_pending;c5db565c-2655-11f1-9fe3-f2bd301d25df;pair;sub_vertical, location, estadio_actual, solucion, mail, social_media, founders, founded, outcome_status, business_model, notes;
UMAMI Bioworks;https://www.umamibioworks.com/?ref=failory;otra;Mariscos Cultivados / Cell-Based;"{""country"": ""Singapur"", ""region"": ""S/D"", ""city"": ""S/D""}";Singapur;S/D;Singapur;Singapur;S/D;S/D;;series_a;Desarrolla mariscos y pescados cultivados (cell-based seafood) con foco en especies de alta demanda como cangrejo, camarón y atún.;info@umamibioworks.com;"{""linkedin"": ""linkedin.com/company/umami-bioworks""}";;"[""Mihir Pershad""]";2021.0;startup;activa;b2b · ingredientes + b2c futuro;[];Pesca industrial destruye ecosistemas marinos. Mariscos cultivados sin pesca extractiva.;IN_REVIEW;;;backend_pending;c608ebc6-2655-11f1-9fe3-f2bd301d25df;pair;sub_vertical, location, estadio_actual, solucion, mail, social_media, founders, founded, outcome_status, business_model, notes;city_removed_or_unresolved
Sproud;https://besproud.com/?ref=failory;otra;Proteína de Insectos;"{""country"": ""Bélgica"", ""region"": ""S/D"", ""city"": ""S/D""}";Bélgica;S/D;Bélgica;Bélgica;S/D;S/D;;seed;Cría insectos (larvas de mosca soldado negro) para producir proteína y fertilizante orgánico a partir de residuos orgánicos.;;"{""linkedin"": ""linkedin.com/company/besproud""}";;"[""N/D""]";2019.0;startup;activa;b2b · harina de insecto + fertilizante;[];Insectos convierten residuos en proteína con 12x menos tierra y 2000x menos agua que ganado bovino.;IN_REVIEW;;;backend_pending;c5d2ac67-2655-11f1-9fe3-f2bd301d25df;pair;sub_vertical, location, estadio_actual, solucion, social_media, founders, founded, outcome_status, business_model, notes;city_removed_or_unresolved
ENOUGH;https://www.enough-food.com/?ref=failory;otra;Proteína Fúngica / Mycoprotein;"{""country"": ""Reino Unido"", ""region"": ""S/D"", ""city"": ""Teesside""}";Reino Unido;S/D;Teesside;Reino Unido;S/D;Teesside;;series_b;Produce ABUNDA, proteína fúngica de alta calidad (similar a Quorn) mediante fermentación continua de alta eficiencia.;info@enough-food.com;"{""linkedin"": ""linkedin.com/company/enough-food""}";;"[""Jim Laird"", ""Tony Hunter""]";2015.0;startup;activa;b2b · ingrediente proteico para food manufacturers;[];Micoproteína: 90% menos tierra, 90% menos emisiones que proteína animal. Alta calidad nutricional.;IN_REVIEW;;;backend_pending;c5db48fb-2655-11f1-9fe3-f2bd301d25df;pair;sub_vertical, location, estadio_actual, solucion, mail, social_media, founders, founded, outcome_status, business_model, notes;
Brightseed;https://brightseedbio.com/?ref=failory;otra;IA para Fitoquímicos / Bioactivos;"{""country"": ""Estados Unidos"", ""region"": ""S/D"", ""city"": ""San Francisco""}";Estados Unidos;CA;San Francisco;Estados Unidos;S/D;San Francisco;;series_b;Plataforma de IA (Forager) que identifica compuestos bioactivos en plantas infrautilizadas para crear ingredientes funcionales.;;"{""linkedin"": ""linkedin.com/company/brightseed"", ""instagram"": ""instagram.com/brightseedbio"", ""twitter"": ""twitter.com/brightseed_bio""}";;"[""Jim Flatt"", ""Stephanie Barnes""]";2017.0;startup;activa;b2b · ingredientes funcionales para food y pharma;[];Extrae bioactivos de partes de plantas que se descartan. Menos desperdicio. Sin síntesis química.;IN_REVIEW;;;backend_pending;c5db4712-2655-11f1-9fe3-f2bd301d25df;pair;vertical, sub_vertical, location, estadio_actual, solucion, social_media, founders, founded, outcome_status, business_model, notes;region_removed_or_unresolved
Prime Roots;https://www.primeroots.com/?ref=failory;otra;Proteína de Koji / Mycoprotein;"{""country"": ""Estados Unidos"", ""region"": ""S/D"", ""city"": ""Berkeley""}";Estados Unidos;CA;Berkeley;Estados Unidos;S/D;Berkeley;;series_a;Produce proteína de koji (hongo) para crear análogos de carne como jamón, tocino y pollo con textura ultra-realista.;;"{""linkedin"": ""linkedin.com/company/prime-roots"", ""instagram"": ""instagram.com/primeroots""}";;"[""Kimberlie Le"", ""Joshua Nixon""]";2018.0;startup;activa;b2c · d2c + retail + foodservice;[];Proteína sin animal: 90% menos tierra, 90% menos agua. Koji no requiere insumos agrícolas.;IN_REVIEW;;;backend_pending;c606ef0b-2655-11f1-9fe3-f2bd301d25df;pair;sub_vertical, location, estadio_actual, solucion, social_media, founders, founded, outcome_status, business_model, notes;region_removed_or_unresolved
BIOWEG;https://bioweg.com/?ref=failory;otra;Packaging Biodegradable / Bioplásticos;"{""country"": ""Alemania"", ""region"": ""S/D"", ""city"": ""S/D""}";Alemania;S/D;S/D;Alemania;S/D;S/D;;seed;Desarrolla y produce packaging biodegradable y compostable a partir de almidones naturales para reemplazar plástico en food packaging.;;;;"[""N/D""]";2019.0;startup;activa;b2b · venta de packaging biodegradable;[];Plástico alimentario = 25M ton/año de residuos. Bioweg elimina esa contaminación.;IN_REVIEW;;;backend_pending;c606e6be-2655-11f1-9fe3-f2bd301d25df;pair;sub_vertical, location, estadio_actual, solucion, founders, founded, outcome_status, business_model, notes;
Clean Food Group;https://cleanfood.group/?ref=failory;otra;Grasas Vegetales Saludables;"{""country"": ""Reino Unido"", ""region"": ""S/D"", ""city"": ""S/D""}";Reino Unido;S/D;S/D;Reino Unido;S/D;S/D;;growth;Produce mantequilla de coco y grasas vegetales premium para el mercado europeo de alimentación saludable.;;"{""linkedin"": ""linkedin.com/company/clean-food-group""}";;"[""N/D""]";2017.0;startup;activa;b2c + b2b · retail + ingredientes;[];Sin ácidos grasos trans. Procesamiento mínimo. Alternativa a grasas industriales.;IN_REVIEW;;;backend_pending;c608b68c-2655-11f1-9fe3-f2bd301d25df;pair;sub_vertical, location, estadio_actual, solucion, social_media, founders, founded, outcome_status, business_model, notes;
Koolboks;koolboks.com;otra;Refrigeración Solar Africa PAYG;"{""country"": ""Francia"", ""region"": ""S/D"", ""city"": ""París""}";France;Africa;París;Francia;S/D;París;;series_a;Refrigeradores solares con batería para comercios y agricultores sin electricidad estable. PAYG. Breakthrough Energy.;;"{""linkedin"": ""linkedin.com/company/koolboks"", ""instagram"": ""instagram.com/koolboks""}";;"[""Ayoola Dominic""]";2019.0;startup;nigeria, benin, camerún, togo.;b2c · leasing payg refrigeradores solares;[];Cadena de frío = menos desperdicio de alimentos. Sin combustibles fósiles.;IN_REVIEW;;;backend_pending;c60560fc-2655-11f1-9fe3-f2bd301d25df;pair;sub_vertical, location, estadio_actual, solucion, social_media, founders, founded, outcome_status, business_model, notes;region_removed_or_unresolved
DroneDeploy;dronedeploy.com;otra;Software Drones / Mapeo 3D;"{""country"": ""Estados Unidos"", ""region"": ""S/D"", ""city"": ""San Francisco""}";Estados Unidos;CA;San Francisco;Estados Unidos;S/D;San Francisco;;series_e;Plataforma líder de software para drones: mapas 3D para construcción, energía y minería. 500k+ usuarios.;;"{""linkedin"": ""linkedin.com/company/dronedeploy"", ""instagram"": ""instagram.com/dronedeploy"", ""twitter"": ""twitter.com/DroneDeploy""}";;"[""Mike Winn"", ""Nicholas Pilkington""]";2013.0;startup;500k+ usuarios. 180 países. integración dji, skydio, etc.;b2b · saas gestión y análisis de vuelos;[];Inspecciones con drones = mayor seguridad y menor costo que escaladores.;IN_REVIEW;;;backend_pending;c5c9e516-2655-11f1-9fe3-f2bd301d25df;pair;vertical, sub_vertical, location, estadio_actual, solucion, social_media, founders, founded, outcome_status, business_model, notes;region_removed_or_unresolved
Nitricity;nitricity.co;otra;Fertilizante de Plasma On-Farm;"{""country"": ""Estados Unidos"", ""region"": ""S/D"", ""city"": ""San Francisco""}";Estados Unidos;CA;San Francisco;Estados Unidos;S/D;San Francisco;;seed;Fertilizante nitrogenado del aire con plasma eléctrico on-farm. Sin Haber-Bosch, sin gas natural.;;"{""linkedin"": ""linkedin.com/company/nitricity""}";;"[""Joshua Ensberg"", ""Gabi Weizman""]";2019.0;startup;sistemas piloto en granjas de california.;b2b · venta fertilizante + sistemas on-farm;[];Fertilizantes = 2% emisiones globales. Nitricity elimina esa huella.;IN_REVIEW;;;backend_pending;c5db45a7-2655-11f1-9fe3-f2bd301d25df;pair;vertical, sub_vertical, location, estadio_actual, solucion, social_media, founders, founded, outcome_status, business_model, notes;region_removed_or_unresolved
TechMet;techmet.com;otra;Inversión Metales Críticos Transición;"{""country"": ""Irlanda"", ""region"": ""S/D"", ""city"": ""Dublín""}";Irlanda;S/D;Dublín;Irlanda;S/D;Dublín;;growth;Fondo de inversión en producción de metales críticos: litio, cobalto, níquel, tungsteno. US DFC-backed.;;"{""linkedin"": ""linkedin.com/company/techmet""}";;"[""Brian Menell""]";2017.0;startup;activos en producción. backed us dfc. expandiendo portfolio.;b2b · inversión + desarrollo activos mineros;[];Metales críticos = habilitadores de transición energética. Sin dependencia China.;IN_REVIEW;;;backend_pending;c60aa593-2655-11f1-9fe3-f2bd301d25df;pair;sub_vertical, location, logo_url, estadio_actual, solucion, social_media, founders, founded, outcome_status, business_model, notes;
