raw_value,normalized_value,count
Suecia,S/D,2
Yokneam,Yokneam,2
0,S/D,1
1 Alumot,S/D,1
1 Arieh Shenkar,S/D,1
1 Arvei Nahal Street,S/D,1
1 Beit Theresienstadt,S/D,1
1 Graets,S/D,1
1 HaAlonim,S/D,1
1 HaAvoda,S/D,1
1 HaMagid,S/D,1
1 HaMarpe,S/D,1
1 HaNagar,S/D,1
1 Hadarim,S/D,1
1 Hamachshev St.,S/D,1
1 Hamada,S/D,1
1 Hamatechet St,S/D,1
1 Hamenofim,S/D,1
1 Hanagar,S/D,1
1 Hanagar St.,S/D,1
1 Harei Besamim,S/D,1
1 Kaf Gimel Yordei HaSira,S/D,1
1 Kibutz Glil,S/D,1
1 Lev ha,S/D,1
1 Maskit,S/D,1
1 Mordehai Zeira,S/D,1
1 Odem,S/D,1
1 Ramot,S/D,1
1 Sapir,S/D,1
1 Shabazi,S/D,1
1 Soon,S/D,1
1 Yehoshua Rabinovich,S/D,1
1 Yetsiat Eropa St 4,S/D,1
1 Yoseph Lishanski,S/D,1
1 shderot manof,S/D,1
10 Dan,S/D,1
10 HaAmal Park Afek,S/D,1
10 HaOranim,S/D,1
10 HaSadnaot,S/D,1
10 HaYetzira,S/D,1
10 Hagdud Haivri,S/D,1
10 Hatamar,S/D,1
10 Hayarkon,S/D,1
10 Hertzel,S/D,1
10 Herzl Rosenblum,S/D,1
10 Moran,S/D,1
10 Moshe,S/D,1
10 Oholiav,S/D,1
10 Weisman,S/D,1
10 Zarchin,S/D,1
10 artom,S/D,1
10 ben yehuda,S/D,1
10 tushiya,S/D,1
100 modiem,S/D,1
103 Allenby,S/D,1
11 Galgalei Ha Plada,S/D,1
11 HaAchim Maslavita,S/D,1
11 HaTaasiya,S/D,1
11 Haamal,S/D,1
11 Hamenofim,S/D,1
11 Hataasiya,S/D,1
11 Moshe Levi,S/D,1
11 Odem,S/D,1
11 Sderot Rothschild,S/D,1
11 Yehiel Paldi,S/D,1
11 asher peled,S/D,1
11 hataasia st.,S/D,1
110 Derech Begin,S/D,1
111 Derch Namir,S/D,1
117 Hachashmonaim Street,S/D,1
12 Alumot St,S/D,1
12 Ayelet Hashahar,S/D,1
12 Baaley hamelaha,S/D,1
12 Ben Gurion,S/D,1
12 David Khakhami,S/D,1
12 Ha,S/D,1
12 HaTeenim,S/D,1
12 Haumanim,S/D,1
12 Nahliel,S/D,1
12 Shefa Tal,S/D,1
12 Soncino,S/D,1
12 modiin,S/D,1
120 Arlozorov,S/D,1
120 Yigal Alon,S/D,1
124 Ibn Gvirol St,S/D,1
124 Yigal Alon,S/D,1
125 Derech Menachem Begin,S/D,1
125 HaNasi,S/D,1
126 Igal Alon,S/D,1
127 Igal Alon,S/D,1
13,S/D,1
13 13 Hatnufa St.,S/D,1
13 Beit Oved,S/D,1
13 Burla,S/D,1
13 Florentin,S/D,1
13 Hadafna,S/D,1
13 Hatnufa,S/D,1
13 Jerusalem ave,S/D,1
13 Menachem Begin,S/D,1
13 Noah Mozes,S/D,1
13 Shoken,S/D,1
13 Yad Harutsim,S/D,1
13 Zarhin,S/D,1
132 Azrieli Center,S/D,1
134 Rothschild,S/D,1
136 Rotchild st,S/D,1
14 Beit Hillel,S/D,1
14 Ben ezra,S/D,1
14 Carlebach,S/D,1
14 Derech Aba Hillel,S/D,1
14 HaZeitim,S/D,1
14 Hamelach 14,S/D,1
14 Imber,S/D,1
14 Isserles,S/D,1
14 Karlibach,S/D,1
14 Nachmani,S/D,1
14 Prof. Hillel Vehanan Oppenheimer,S/D,1
14 Raoul Wallenberg,S/D,1
14 Zirelson 14,S/D,1
14 a Aba Hilel,S/D,1
15 Aba Eban,S/D,1
15 Florentin,S/D,1
15 Gershon Shatz,S/D,1
15 Hovevei Tsiyon,S/D,1
15 Maskit,S/D,1
15 Rothchild,S/D,1
15 Snunit,S/D,1
15 Zaksenberg Tower,S/D,1
15 rothschild,S/D,1
155 Bialik,S/D,1
157 Yigal Alon,S/D,1
16 Aba Eban,S/D,1
16 Aba Hillel,S/D,1
16 Artom,S/D,1
16 Atir Yeda,S/D,1
16 Brenner,S/D,1
16 Ha Haroshet,S/D,1
16 Ha'arbaa,S/D,1
16 Kibutz galoyot,S/D,1
16 Palmach,S/D,1
16 Yitzhak Rabin,S/D,1
167 Hayarkon St,S/D,1
168 Jabotinsky,S/D,1
169 Hayarkon,S/D,1
17 Atir Yeda,S/D,1
17 Ha,S/D,1
17 HaYarkon,S/D,1
17 Hanotea,S/D,1
17 Shevet Binyamin,S/D,1
17 aruza,S/D,1
17 hatidhar,S/D,1
18 Ben Avigdor,S/D,1
18 Bitsaron,S/D,1
18 Leah,S/D,1
19 Artom,S/D,1
19 Ein Gedy,S/D,1
19 HaBarzel,S/D,1
19 Halimon,S/D,1
19 Hatzfira,S/D,1
19 Migdal Halevanon,S/D,1
19 Rothschild devops.co.il,S/D,1
19 Tel Aviv Port,S/D,1
192 Levi Eshkul St. Kiryat Uno,S/D,1
195 Derech Bar Yehuda,S/D,1
195 Ibn Gvirol,S/D,1
2 Abu Obieda Ibn Al Jarah,S/D,1
2 Bitsaron,S/D,1
2 Gad Manela,S/D,1
2 HALESHEM,S/D,1
2 Ha,S/D,1
2 HaMasger,S/D,1
2 HaMelacha,S/D,1
2 HaNagar,S/D,1
2 HaNehoshet,S/D,1
2 HaShfela,S/D,1
2 Hahadarim,S/D,1
2 Halimon,S/D,1
2 Hamelacha St,S/D,1
2 Haprat,S/D,1
2 Har Sinay,S/D,1
2 Huri,S/D,1
2 Ilan Ramon,S/D,1
2 Issawiya,S/D,1
2 Katzir,S/D,1
2 Maskit,S/D,1
2 Merhavia,S/D,1
2 Negev,S/D,1
2 Poalei Tsedek,S/D,1
2 Rabenu Yeruham,S/D,1
2 Rehov haNagar,S/D,1
2 Shoham,S/D,1
2 Yehiel Drezner,S/D,1
2 habarzel,S/D,1
2 hamada,S/D,1
20 Altalef,S/D,1
20 Atir Yeda,S/D,1
20 Azrieli Center,S/D,1
20 Echad Haam,S/D,1
20 Giborei Israel,S/D,1
20 HaTaas,S/D,1
20 Habashan str,S/D,1
20 Hamagshimim St.,S/D,1
20 Toval,S/D,1
200 Dizengof,S/D,1
209 Wingate,S/D,1
21 Bilu,S/D,1
21 HaMelacha,S/D,1
21 Habarzel,S/D,1
21 Hamelacha St,S/D,1
21 Rothschild Boulevard,S/D,1
21 Rotschild Boulevard,S/D,1
213 Bney Efrayim,S/D,1
22 Mercaz Baaleh Melacha,S/D,1
22 Raoul Wallenberg,S/D,1
22 Raoul Wallenberg 22a,S/D,1
22 Rehovot HaNahar,S/D,1
22 SEADIA GAON,S/D,1
22 Saadya Gaon,S/D,1
22 Simhat cohen,S/D,1
2233,S/D,1
23 Melchett,S/D,1
24 Derech Chevron,S/D,1
24 Hayasmin b,S/D,1
24 Hayetzira,S/D,1
24 Hebron Road,S/D,1
24 Hebron rd,S/D,1
24 Lipsky,S/D,1
24 Machane Yosef,S/D,1
24 Pombedita,S/D,1
24 Rothschild,S/D,1
24 Saadia Gaon,S/D,1
24 Yehuda Ha,S/D,1
242 Ben Yehuda,S/D,1
25 Arlozorov,S/D,1
25 Bazel street,S/D,1
25 HaMelacha,S/D,1
25 Habarzel,S/D,1
25 Halulav,S/D,1
25 Hataas,S/D,1
25 Hataasiya St,S/D,1
26 Ben Avigdor st.,S/D,1
26 HaBarzel,S/D,1
26 HaHaroshet,S/D,1
26 HaTsiyonut,S/D,1
262 HaYarkon,S/D,1
27 Habarzel,S/D,1
27 Hashachar St.,S/D,1
27 Maskit st. Herzeliya,S/D,1
270 Nachal Tzofit,S/D,1
28 Ehad Haam,S/D,1
28 HA,S/D,1
28 Hayetzira,S/D,1
28 Hebron,S/D,1
28 Itzhak Sadeh St. Tel Aviv,S/D,1
28 Yosef Karo,S/D,1
28 hagai,S/D,1
28 hanatziv,S/D,1
29 HaYetsira,S/D,1
29 Hayarkon,S/D,1
29 Lilinblum,S/D,1
3 Ahuzat Bayit,S/D,1
3 Avraham Giron,S/D,1
3 Berniki,S/D,1
3 Ehud,S/D,1
3 HaBarzel,S/D,1
3 HaNehoshet Street,S/D,1
3 Habrosh 3,S/D,1
3 Hamaapilim,S/D,1
3 Hapiyus,S/D,1
3 Hatamar,S/D,1
3 Maavar Hamitla,S/D,1
3 Menorat HaMaor,S/D,1
3 Pineles,S/D,1
3 Rothschild Blvd,S/D,1
3 Yam HaMelach,S/D,1
3 Yermiyahu,S/D,1
3 Zivony Street Haifa Israel,S/D,1
30 Haim Levanon,S/D,1
30 Hasivim,S/D,1
30 Ibn Gabirol,S/D,1
30 Kibbutz Galuyot,S/D,1
31 31 Bilu Street,S/D,1
31 Bilu St.,S/D,1
31 Habarzel,S/D,1
31 yavne,S/D,1
32 Ben Yahuda,S/D,1
32 Ben Yoseph Shlomo 23,S/D,1
32 HaBarzel,S/D,1
32 Hasitvanit,S/D,1
32 Maskit,S/D,1
32 Rothschild Blvd.,S/D,1
32 Sderot Hameginim,S/D,1
32 Tuval,S/D,1
33 Kvish,S/D,1
33 Lazarov,S/D,1
34 Habarzel,S/D,1
34 Hasheminit,S/D,1
34 Jerusalem street,S/D,1
34 Mivza Moshe st,S/D,1
34 Nahmani,S/D,1
35 Ben Gurion,S/D,1
35 Ehad Haam,S/D,1
35 HaMaapilim,S/D,1
35 Hanadiv St Zichron Ya'akov,S/D,1
35 Maskit,S/D,1
35 Sderot Yehudit,S/D,1
35 Yehudit,S/D,1
36 Exodus 26,S/D,1
36 Frug,S/D,1
36 Sokolov,S/D,1
36 kdoshy kahir,S/D,1
37 Berdyczewski,S/D,1
37 Raul Wallenberg,S/D,1
37 Sderot Shaul Hamelech,S/D,1
38 Bloch,S/D,1
38 Bnei Dan,S/D,1
38 HaRav Friedman,S/D,1
38 Yonatan Hachashmonai Street,S/D,1
38 tuval,S/D,1
39 Bilu,S/D,1
39 HaMasger,S/D,1
39 Levinski,S/D,1
39 Rothschild,S/D,1
39 Shaul Hemelech,S/D,1
39 Yehoshua bin nun,S/D,1
4 4 Ein Zeitim,S/D,1
4 Brandeis,S/D,1
4 Derech Hahoresh,S/D,1
4 Derekh ha,S/D,1
4 Eliyahu Bachur,S/D,1
4 HaGdud Haivri,S/D,1
4 HaHarash,S/D,1
4 HaNehoshet,S/D,1
4 Haharash,S/D,1
4 Hashaked,S/D,1
4 Kaplan,S/D,1
4 Kaufman,S/D,1
4 Maskit,S/D,1
4 Paran,S/D,1
4 Raoul Wallenberg,S/D,1
4 Ravnitzki,S/D,1
4 Reuven Rubin,S/D,1
40 Hannah Rovina,S/D,1
40 Tel Aviv Port,S/D,1
41 Ben Gurion,S/D,1
41 Montefiore Street,S/D,1
41 hameyasdim st,S/D,1
42 Hayarkon,S/D,1
43 HaNatsiv,S/D,1
43 sara imenu,S/D,1
45 Florentin,S/D,1
45 Rothschild Avn.,S/D,1
45 Yehuda Halevi,S/D,1
46 Retsif Herbert Samuel,S/D,1
46107 POB.797,S/D,1
47 HaNesiim,S/D,1
47 Rothschild Boulvard,S/D,1
48 Derech Menachem Begin,S/D,1
5 Bar Yochai,S/D,1
5 Bar Yohai,S/D,1
5 Begin,S/D,1
5 Ben Yehuda 166,S/D,1
5 Druyanov,S/D,1
5 Eliyahoo Miferara,S/D,1
5 Etgar,S/D,1
5 Golda Meir,S/D,1
5 HaGavish,S/D,1
5 Haavoda,S/D,1
5 Habanai street,S/D,1
5 Hahilazon,S/D,1
5 Hamelacha,S/D,1
5 Har Adar,S/D,1
5 Har Sinai,S/D,1
5 Hasadot,S/D,1
5 Ishtori HaParhi,S/D,1
5 Kineret,S/D,1
5 Prof. Hillel Vehanan Oppenheimer,S/D,1
5 Sderot HaVatikim,S/D,1
5 Shoham,S/D,1
5 Sokolov,S/D,1
5 Yokneam,S/D,1
5 haarad,S/D,1
5 hamada,S/D,1
5 hazayit st.,S/D,1
5 zvi herman segal,S/D,1
51 Derech Jaffa,S/D,1
52 Nahalat Binyamin St,S/D,1
53 A Moshe Levi,S/D,1
53 nahamani,S/D,1
54 Herzl,S/D,1
6 Allenby 65,S/D,1
6 Andrews,S/D,1
6 Arieh Segev,S/D,1
6 Avnei Hahoshen,S/D,1
6 Efal,S/D,1
6 Haarbaa,S/D,1
6 King Georges,S/D,1
6 Koifman,S/D,1
6 Maskit,S/D,1
6 Moshe Sharet,S/D,1
6 Yehonatan Netanyahu,S/D,1
60 pinsker,S/D,1
619 Adam,S/D,1
62 Rothschild Boulevard,S/D,1
64 Frishman,S/D,1
64 Sokolow,S/D,1
65 Derech Ben Tsvi,S/D,1
65 Yigal Alon,S/D,1
66 Rambam,S/D,1
68 Harakevet,S/D,1
68 Shlomo Kaplanski,S/D,1
68 hashmonaim,S/D,1
69 Bograshov,S/D,1
69 Bugrashove,S/D,1
69 Habanim,S/D,1
7 Abba Hillel,S/D,1
7 Bar Yochai,S/D,1
7 Dobnov,S/D,1
7 Dr. Elie Tavin,S/D,1
7 Giborei Israel,S/D,1
7 Gush Etsyon,S/D,1
7 HaKidma St,S/D,1
7 HaTaasiya,S/D,1
7 Habarzel,S/D,1
7 Habarzel Street,S/D,1
7 Haeshel,S/D,1
7 Hamasger,S/D,1
7 Mitzpe Yam,S/D,1
7 Motta Gur,S/D,1
7 Nachal Ayalon,S/D,1
7 Nahal Bazak,S/D,1
7 Nahal Dolev,S/D,1
7 Rival St.,S/D,1
7 Sderot Giborei Israel,S/D,1
7 Shevah,S/D,1
7 Shoshan,S/D,1
7 Wiesel,S/D,1
7 Yam Suf,S/D,1
7 Yoel Moshe Solomon,S/D,1
7 giborei israel,S/D,1
70 Hayarkon,S/D,1
70 King George,S/D,1
71 Derech Bar Yehuda,S/D,1
72 Ehad Haam,S/D,1
72 Weizman,S/D,1
72 Zeev Orlov,S/D,1
73 HaYarkon,S/D,1
75 Yehuda Halevy,S/D,1
77 HaEnergia,S/D,1
77 haenergia,S/D,1
8 Aba Even,S/D,1
8 Abba Eban,S/D,1
8 Balfur,S/D,1
8 Bloch St.,S/D,1
8 Ehus Manor,S/D,1
8 HaCharuv,S/D,1
8 HaMada,S/D,1
8 HaMelacha,S/D,1
8 HaNagar,S/D,1
8 Hacharoshet,S/D,1
8 Hamada,S/D,1
8 Hamanofim,S/D,1
8 Hasadna,S/D,1
8 Hashiloach,S/D,1
8 Maayani,S/D,1
8 Martin Gehl,S/D,1
8 Maskit,S/D,1
8 Melchet,S/D,1
8 Naftali,S/D,1
8 Sderot Abba Eban,S/D,1
8 Tushiya,S/D,1
8 Zoran,S/D,1
81 Rothschild,S/D,1
84 Yitzhak Rabin,S/D,1
87 Haegoz,S/D,1
9,S/D,1
9 Ahad Ha'Am,S/D,1
9 Ahad HaAm,S/D,1
9 Atir Yeda,S/D,1
9 Dereh Hashalom,S/D,1
9 Ehad haam,S/D,1
9 HaAtsmaut,S/D,1
9 HaMenofim,S/D,1
9 Hakfar,S/D,1
9 Marmorek,S/D,1
9 Wolfson,S/D,1
9 ehad aham,S/D,1
9 gildesgim,S/D,1
9 hataasiya,S/D,1
9 stein,S/D,1
90 Akiva,S/D,1
90 Begin road,S/D,1
91 Medinat Hayehudim,S/D,1
94 allenby,S/D,1
98 Igal Alon,S/D,1
98 yigal alon,S/D,1
99 Hacharash St.,S/D,1
Aarhus,Aarhus,1
Abu Dhabi,Abu Dhabi,1
Abuja,Abuja,1
Ahad Ha'Am St 28,S/D,1
Ahad Ha'Am St 54,S/D,1
Ahad Ha'Am Street 54,S/D,1
Ahad Ha'Am Street 9,S/D,1
Aharon Bart St,S/D,1
Ahmedabad,Ahmedabad,1
Ahuza,Ahuza,1
Alameda,Alameda,1
Alemania,S/D,1
Allenby St 103,S/D,1
Alonim,Alonim,1
Aluf Kalman Magen St 3,S/D,1
Aluf Kalman Magen Street,S/D,1
Amberes,Amberes,1
Ann Arbor,Ann Arbor,1
Arieh Shenkar Street 1,S/D,1
Arieh Shenkar Street 18,S/D,1
Ariel,Ariel,1
Arlington,S/D,1
Arlozorov Street,S/D,1
Arnhem,Arnhem,1
Arye Shenkar Street 13,S/D,1
Atir Yeda St 21,S/D,1
Atrium Tower,Atrium Tower,1
Aveiro,Aveiro,1
Avellaneda,S/D,1
BE,Be,1
BSR Tower No. 3 15th floor. 9Mesada St.,S/D,1
Bakú,Bakú,1
Baltimore,Baltimore,1
Baltimore Street 7,S/D,1
Bar Yokhai 12,S/D,1
Bar Yokhai St 5,S/D,1
Basra,Basra,1
Bath,Bath,1
Beit Herut,Beit Herut,1
Belfast,Belfast,1
Bellevue,Bellevue,1
Ben Avigdor 18,S/D,1
Ben Gurion University,S/D,1
Ben Shemen 6,S/D,1
Ben Tsiyon Blvd 34,S/D,1
Ben Yehuda 34,S/D,1
Ben Zakai 6,S/D,1
Bengaluru,Bengaluru,1
Beniamini,Beniamini,1
Bilu St 20,S/D,1
Boden,Boden,1
Bogotá,Bogotá,1
Bograshov Street,S/D,1
Bostón,Bostón,1
Brandeis,Brandeis,1
Breda,Breda,1
Brisbane,Brisbane,1
Brno,Brno,1
Brooklyn,Brooklyn,1
Bruselas,Bruselas,1
Burgos,Burgos,1
Bélgica,S/D,1
Caesarea Maritima,Caesarea Maritima,1
California,California,1
Camden,Camden,1
Campbell,Campbell,1
Charlotte,Charlotte,1
Chicago,Chicago,1
China,S/D,1
Communication Center,S/D,1
Concepción,Concepción,1
Dale,Dale,1
David Hamelech,David Hamelech,1
David Pinkas 45,S/D,1
David Yellin,David Yellin,1
Derech HaAliya,S/D,1
Derech HaAtsma'ut 49,S/D,1
Derech HaSharon 5,S/D,1
Derech Menachem Begin,S/D,1
Derech Menachem Begin 12,S/D,1
Derech Menachem Begin 121,S/D,1
Derekh Em Hamoshavot 94,S/D,1
Dinamarca,S/D,1
Dnipro,Dnipro,1
Doctor Bodenheimer Street 32,S/D,1
Dov Friedman Street 2,S/D,1
Dubai,Dubai,1
E.S. Artom Street 13,S/D,1
Efrat,Efrat,1
Eibar,Eibar,1
Ein Ganim St 8,S/D,1
Ein Ganim Street,S/D,1
Eindhoven,Eindhoven,1
Einstein Street 14,S/D,1
Einstein Street 86,S/D,1
El Al 2,S/D,1
El Cairo,El Cairo,1
Eli Cohen Street 1,S/D,1
Eli Sinai 7,S/D,1
Eliezer Kaplan 8,S/D,1
Elifelet St 26,S/D,1
Eshel 17,S/D,1
Eslovenia,Eslovenia,1
Estados Unidos,Estados Unidos,1
Estados Unidos.,S/D,1
Estambul,Estambul,1
Estocolmo,S/D,1
Etgar 1,S/D,1
Even Yehuda,Even Yehuda,1
Exeter,Exeter,1
Freeport,Freeport,1
Friburgo de Brisgovia,Friburgo de Brisgovia,1
Galgalei HaPlada 11,S/D,1
Galgalei HaPlada St 20,S/D,1
Galway,Galway,1
Gershon Shatz Street,S/D,1
Givat Ram,Givat Ram,1
Glasgow,Glasgow,1
Golda Meir 3,S/D,1
Gotemburgo,Gotemburgo,1
Grenoble,Grenoble,1
Guglielmo Marconi Street 10,S/D,1
HaAlon 29,S/D,1
HaArba'a Street 6,S/D,1
HaAtsma'ut Road 45,S/D,1
HaAvoda 7,S/D,1
HaBarzel 34,S/D,1
HaBarzel St 21,S/D,1
HaBarzel Street 28,S/D,1
HaCarmel,Hacarmel,1
HaDekel 20,S/D,1
HaEnergia 77,S/D,1
HaEshel St,S/D,1
HaEtsel Street 4,S/D,1
HaHarash 4,S/D,1
HaHaroshet 19,S/D,1
HaHaroshet 4,S/D,1
HaHashmona'im St 75,S/D,1
HaHashmonaim Street 95,S/D,1
HaMa'ayan,Hama'ayan,1
HaMada Street 4,S/D,1
HaMagshimim St 6,S/D,1
HaMahshev 3,S/D,1
HaMasger 52,S/D,1
HaMasger Street 55,S/D,1
HaMazmera Street,S/D,1
HaMeginim Ave 35,S/D,1
HaMelacha 5,S/D,1
HaMelacha St 23,S/D,1
HaMelacha Street,S/D,1
HaMelacha Street 13,S/D,1
HaMenofim 8,S/D,1
HaNagar,Hanagar,1
HaNehoshet Street 6,S/D,1
HaOfe Street 2,S/D,1
HaPelech Street,S/D,1
HaRav Levin Marisha St 7,S/D,1
HaRechev 4,S/D,1
HaRechev Street 1,S/D,1
HaSadna St,S/D,1
HaSadna St 7,S/D,1
HaShalom Road 7,S/D,1
HaSivim 18,S/D,1
HaTa'asiya Street,S/D,1
HaTaas 1,S/D,1
HaTsoref 5,S/D,1
HaUmanim 14,S/D,1
HaYetsira Street 24,S/D,1
HaYetsira Street 29,S/D,1
Haasmaut,S/D,1
Hadera,Hadera,1
Hadror,Hadror,1
Haenergia 77 Bear Sheba,S/D,1
Hagavish 5,S/D,1
Halamish 15,S/D,1
Halamish Street,S/D,1
Hamburgo,Hamburgo,1
Hana and Mordekhai Veisser,S/D,1
Hanaton,Hanaton,1
Haogen,Haogen,1
Hapalmach 6 Kfar Tavor,S/D,1
Har Adar,Har Adar,1
Har Hotzvim,Har Hotzvim,1
Har Ramon,Har Ramon,1
Har Sinai 2,S/D,1
Har Sinai 5,S/D,1
Har Sinai St 2,S/D,1
Haroshet 18,S/D,1
Hartom Street 19,S/D,1
Hatnufa street 4,S/D,1
He,He,1
Hebron Road 24,S/D,1
Herev Leet,Herev Leet,1
Herzliya Pituach,Herzliya Pituach,1
Hibat Tsiyon Street,S/D,1
Ho Chi Minh City,Ho Chi Minh City,1
Hod Hasharon,Hod Hasharon,1
Hollister,Hollister,1
Homa Umigdal Street,S/D,1
Hovevei Tsiyon Street 22,S/D,1
Hyderabad,Hyderabad,1
IDC Herzliya,Idc Herzliya,1
Ibe Gabirol Street 30,S/D,1
Ilan Ramon 2,S/D,1
Imber St 14,S/D,1
India,S/D,1
Industrial Park,S/D,1
Industrial Zone Katzrin,Industrial Zone Katzrin,1
Irlanda,S/D,1
Irving,Irving,1
Israel,S/D,1
Isserles St 22,S/D,1
Jabotinski 2,S/D,1
Jabotinsky St 2,S/D,1
Jackson,Jackson,1
Jerusalem,Jerusalem,1
Kaf Gimel Yordei ha,S/D,1
Kailua,Kailua,1
Kalanit Street 3,S/D,1
Kalischer Street,S/D,1
Kalisher Street,S/D,1
Kaufmann 2,S/D,1
Keren ha,S/D,1
Kfar Netter,Kfar Netter,1
Kfar Saba,Kfar Saba,1
Khalamish Street 15,S/D,1
Kharuts Street,S/D,1
Kibbutz Megiddo,Kibbutz Megiddo,1
Kibuts Galuyot Road 32,S/D,1
Kilcoy,Kilcoy,1
Kinneret Street,S/D,1
Kioto,Kioto,1
Kiryat Bialik,Kiryat Bialik,1
Kiryat Ono,Kiryat Ono,1
Kiryat Tiv'on,Kiryat Tiv'on,1
Kochi,S/D,1
Kolkata,Kolkata,1
Kremenetski 3,S/D,1
Kuala Lumpur,Kuala Lumpur,1
La Haya,la Haya,1
LaEstados Unidosna,Laestados Unidosna,1
Lausana,Lausana,1
Leeds,Leeds,1
Lençóis Paulista,S/D,1
Leshem,Leshem,1
Levontin 3,S/D,1
Lilienblum Street,S/D,1
Lima,Lima,1
Limerick,Limerick,1
Linköping,Linköping,1
Lisboa,Lisboa,1
Liubliana,Liubliana,1
London,London,1
Los Altos,los Altos,1
Los Angeles,los Angeles,1
Madison,Madison,1
Manama,Manama,1
Mannheim,Mannheim,1
Margolin 19 Rishon Lezion,S/D,1
Marly,Marly,1
Mascate,Mascate,1
Maskit 15,S/D,1
Maskit 2 St,S/D,1
Maskit St 8,S/D,1
Maskit Street 13,S/D,1
Maze 56,S/D,1
Mazkeret Batya,Mazkeret Batya,1
Medinat HaYehudim 89,S/D,1
Medinat Hayehudim,Medinat Hayehudim,1
Menachem Begin Road 144,S/D,1
Menachem Begin Road 154,S/D,1
Menachem Begin Road 23,S/D,1
Metz,Metz,1
